Original Text	Language	English Text	Category	Priority
प्रोफेसर का व्यवहार खराब है	Hindi	Professor's behavior is bad	Academics	High
वॉशरूम में पानी नहीं आता	Hindi	No water in washroom	Infrastructure	High
जिम की सुविधा नहीं है	Hindi	Gym facility not available	Extracurricular	Low
मेस का टाइमिंग ठीक नहीं है	Hindi	Mess timing is not suitable	Hostel	Medium
क्लासरूम में लाइट कम है	Hindi	Classroom lighting is poor	Infrastructure	Medium
कोर्स अपडेटेड नहीं है	Hindi	Course is not updated	Academics	High
ऑनलाइन पोर्टल काम नहीं करता	Hindi	Online portal not working	Administration	High
फैकल्टी कम है	Hindi	Faculty is insufficient	Academics	High
बस की फ्रीक्वेंसी कम है	Hindi	Bus frequency is low	Transport	Medium
हॉस्टल में गर्मी बहुत है	Hindi	Hostel is too hot	Hostel	Medium
सर्दी में हीटर नहीं है	Hindi	No heater in winter	Hostel	Medium
डॉक्टर कैंपस में नहीं आते	Hindi	Doctor doesn't visit campus	Health	High
एग्जाम सेंटर दूर है	Hindi	Exam center is far	Academics	Medium
रीवैल्यूएशन में बहुत समय लगता है	Hindi	Revaluation takes too long	Academics	High
स्टडी टूर नहीं होते	Hindi	Study tours don't happen	Academics	Low
कैंटीन का खाना महंगा है	Hindi	Canteen food is expensive	Finance	Medium
डुप्लीकेट आईकार्ड नहीं बनता	Hindi	Duplicate ID card not made	Administration	Medium
वर्कशॉप ट्रेनिंग नहीं होती	Hindi	Workshop training not conducted	Academics	Medium
सेमेस्टर फीस बहुत है	Hindi	Semester fee is too high	Finance	High
बोनाफाइड सर्टिफिकेट देर से मिलता है	Hindi	Bonafide certificate delayed	Administration	Medium
स्पोर्ट्स किट नहीं मिलती	Hindi	Sports kit not provided	Extracurricular	Low
इवेंट्स में पार्टिसिपेशन कम है	Hindi	Low participation in events	Extracurricular	Low
कैंपस में सीसीटीवी नहीं है	Hindi	No CCTV on campus	Infrastructure	High
गेट पास की समस्या है	Hindi	Gate pass issues exist	Administration	Medium
नाइट कैंटीन नहीं है	Hindi	No night canteen available	Hostel	Low
हॉस्टल में शोर बहुत होता है	Hindi	Too much noise in hostel	Hostel	Medium
बस ड्राइवर तेज चलाता है	Hindi	Bus driver drives rashly	Transport	High
अटेंडेंस गलत मार्क होती है	Hindi	Attendance marked incorrectly	Academics	High
प्रोजेक्टर काम नहीं करता	Hindi	Projector not working	Infrastructure	Medium
वॉटर कूलर खराब है	Hindi	Water cooler is broken	Infrastructure	Medium
स्टेशनरी शॉप महंगी है	Hindi	Stationery shop is expensive	Finance	Low
मोबाइल नेटवर्क नहीं आता	Hindi	Mobile network not available	Infrastructure	Medium
लॉकर की सुविधा नहीं है	Hindi	No locker facility available	Hostel	Low
रूम में फर्नीचर टूटा है	Hindi	Furniture broken in room	Hostel	Medium
वार्डन से बात नहीं होती	Hindi	Cannot communicate with warden	Hostel	Medium
मेडिकल लीव अप्रूव नहीं होती	Hindi	Medical leave not approved	Administration	High
एक्स्ट्रा क्लास नहीं लगती	Hindi	Extra classes not conducted	Academics	Medium
सिलेबस बहुत ज्यादा है	Hindi	Syllabus is too vast	Academics	Medium
टीचर समझाते नहीं हैं	Hindi	Teacher doesn't explain properly	Academics	High
रूम अलॉटमेंट में दिक्कत है	Hindi	Room allocation problem	Hostel	Medium
फोटोकॉपी शॉप बंद रहती है	Hindi	Photocopy shop remains closed	Infrastructure	Low
बस रूट बदल दिया गया	Hindi	Bus route has been changed	Transport	Medium
लंच ब्रेक कम है	Hindi	Lunch break is too short	Administration	Low
क्लास टाइमटेबल क्लैश करता है	Hindi	Class timetable clashes	Academics	High
डिपार्टमेंट ऑफिस में कोई नहीं मिलता	Hindi	No one available in dept office	Administration	Medium
सर्टिफिकेट वेरिफिकेशन में देरी	Hindi	Certificate verification delayed	Administration	Medium
कंप्लेंट बॉक्स चेक नहीं होता	Hindi	Complaint box not checked	Administration	Medium
एयर कंडीशनर नहीं है	Hindi	No air conditioner available	Infrastructure	Low
पेड़ काटे जा रहे हैं	Hindi	Trees are being cut	Environment	Low
क्लीनिंग स्टाफ नहीं आता	Hindi	Cleaning staff doesn't come	Infrastructure	Medium
डस्टबिन नहीं रखे हैं	Hindi	Dustbins not placed	Infrastructure	Low
मॉक टेस्ट नहीं होते	Hindi	Mock tests not conducted	Academics	Medium
करियर काउंसलिंग नहीं मिलती	Hindi	No career counseling available	Placement	Medium
रिसर्च फंडिंग नहीं मिलती	Hindi	Research funding not provided	Academics	High
पीएचडी गाइड नहीं मिलता	Hindi	PhD guide not available	Academics	High
पब्लिकेशन सपोर्ट नहीं है	Hindi	No publication support	Academics	Medium
कॉन्फ्रेंस अटेंड करने का मौका नहीं	Hindi	No chance to attend conferences	Academics	Medium
लैपटॉप चार्जिंग पॉइंट नहीं है	Hindi	No laptop charging points	Infrastructure	Medium
हॉस्टल में गेस्ट नहीं आ सकते	Hindi	Guests not allowed in hostel	Hostel	Low
वैकेशन में हॉस्टल बंद होता है	Hindi	Hostel closed during vacation	Hostel	Medium
नाइट आउट अप्रूवल मुश्किल है	Hindi	Night out approval is difficult	Hostel	Low
मेस में वेज ऑप्शन कम है	Hindi	Less veg options in mess	Hostel	Low
नॉनवेज का खाना अच्छा नहीं	Hindi	Non-veg food is not good	Hostel	Low
मेस का मेन्यू बदलता नहीं	Hindi	Mess menu doesn't change	Hostel	Low
फ्रूट्स नहीं मिलते मेस में	Hindi	Fruits not available in mess	Hostel	Low
जूस कॉर्नर नहीं है	Hindi	No juice corner available	Infrastructure	Low
बुक बैंक से किताबें नहीं मिलती	Hindi	Books not available from book bank	Library	Medium
लाइब्रेरी में शोर होता है	Hindi	Library is noisy	Library	Medium
ई-रिसोर्सेज एक्सेस नहीं है	Hindi	No access to e-resources	Library	Medium
जर्नल सब्सक्रिप्शन नहीं है	Hindi	No journal subscription	Library	Medium
स्टडी रूम की कमी है	Hindi	Shortage of study rooms	Library	Medium
ग्रुप डिस्कशन रूम नहीं है	Hindi	No group discussion room	Infrastructure	Low
ऑडिटोरियम बुक करना मुश्किल है	Hindi	Difficult to book auditorium	Administration	Low
फेस्ट का बजट कम मिलता है	Hindi	Less budget for fest	Extracurricular	Low
एनएसएस एक्टिविटी नहीं होती	Hindi	NSS activities not conducted	Extracurricular	Low
एनसीसी ट्रेनिंग अच्छी नहीं है	Hindi	NCC training is not good	Extracurricular	Low
कल्चरल प्रोग्राम कम होते हैं	Hindi	Cultural programs are few	Extracurricular	Low
टेक्निकल फेस्ट नहीं होता	Hindi	Technical fest not organized	Extracurricular	Low
हैकाथॉन नहीं होते	Hindi	Hackathons not conducted	Academics	Low
कोडिंग क्लब नहीं है	Hindi	No coding club available	Extracurricular	Low
डिबेट कंपीटीशन नहीं होते	Hindi	Debate competitions not held	Extracurricular	Low
क्विज कंपीटीशन नहीं होते	Hindi	Quiz competitions not held	Extracurricular	Low
म्यूजिक रूम नहीं है	Hindi	No music room available	Extracurricular	Low
डांस रूम की सुविधा नहीं है	Hindi	No dance room facility	Extracurricular	Low
आर्ट क्लब नहीं है	Hindi	No art club available	Extracurricular	Low
फोटोग्राफी क्लब नहीं है	Hindi	No photography club	Extracurricular	Low
ड्रामा सोसाइटी नहीं है	Hindi	No drama society	Extracurricular	Low
मीडिया क्लब एक्टिव नहीं है	Hindi	Media club not active	Extracurricular	Low
एंटरप्रेन्योरशिप सेल नहीं है	Hindi	No entrepreneurship cell	Placement	Medium
स्टार्टअप सपोर्ट नहीं मिलता	Hindi	No startup support provided	Placement	Medium
इनोवेशन लैब नहीं है	Hindi	No innovation lab available	Academics	Medium
मेकर्स स्पेस नहीं है	Hindi	No makers space available	Academics	Low
थ्रीडी प्रिंटर नहीं है	Hindi	No 3D printer available	Academics	Low
आईओटी लैब नहीं है	Hindi	No IoT lab available	Academics	Medium
एआई एमएल कोर्स नहीं है	Hindi	No AI ML course available	Academics	High
साइबर सिक्योरिटी लैब नहीं है	Hindi	No cybersecurity lab	Academics	Medium
क्लाउड कंप्यूटिंग नहीं सिखाते	Hindi	Cloud computing not taught	Academics	Medium
डेटा साइंस कोर्स नहीं है	Hindi	No data science course	Academics	High
ब्लॉकचेन नहीं पढ़ाते	Hindi	Blockchain not taught	Academics	Low
डिजिटल मार्केटिंग नहीं सिखाते	Hindi	Digital marketing not taught	Academics	Low
सॉफ्ट स्किल्स ट्रेनिंग नहीं होती	Hindi	Soft skills training not done	Academics	Medium
कम्युनिकेशन क्लास नहीं है	Hindi	No communication class	Academics	Medium
एप्टीट्यूड ट्रेनिंग नहीं होती	Hindi	Aptitude training not done	Placement	Medium
इंटरव्यू प्रेप नहीं कराते	Hindi	Interview prep not provided	Placement	High
रिज्यूम बिल्डिंग सेशन नहीं होते	Hindi	Resume building sessions not held	Placement	Medium
लिंक्डइन प्रोफाइल हेल्प नहीं मिलती	Hindi	No LinkedIn profile help	Placement	Low
जॉब पोर्टल एक्सेस नहीं है	Hindi	No job portal access	Placement	Medium
ऑफकैंपस ड्राइव की जानकारी नहीं	Hindi	No info on off-campus drives	Placement	Medium
एल्युमनी नेटवर्क कमजोर है	Hindi	Alumni network is weak	Placement	Medium
मेंटरशिप प्रोग्राम नहीं है	Hindi	No mentorship program	Academics	Medium
पीयर टू पीयर लर्निंग नहीं है	Hindi	No peer to peer learning	Academics	Low
टीम प्रोजेक्ट में झगड़ा	Hindi	Fight in team project	Academics	Medium
वाइवा में पक्षपात होता है	Hindi	Bias in viva examination	Academics	High
इंटर्नल मार्क्स फेयर नहीं हैं	Hindi	Internal marks not fair	Academics	High
असाइनमेंट कॉपी होता है	Hindi	Assignment copying happens	Academics	Medium
चीटिंग पकड़ी नहीं जाती	Hindi	Cheating not caught	Academics	High
प्लेजियरिज्म चेकर नहीं है	Hindi	No plagiarism checker	Academics	Medium
ओपन बुक एग्जाम नहीं होते	Hindi	Open book exams not conducted	Academics	Low
टेक होम असाइनमेंट नहीं देते	Hindi	Take home assignments not given	Academics	Low
ऑनलाइन एग्जाम में प्रॉब्लम है	Hindi	Problem in online exam	Academics	High
प्रॉक्टरिंग सॉफ्टवेयर खराब है	Hindi	Proctoring software is bad	Academics	Medium
ग्रेडिंग सिस्टम क्लियर नहीं है	Hindi	Grading system not clear	Academics	Medium
सीजीपीए कैलकुलेशन गलत है	Hindi	CGPA calculation is wrong	Academics	High
बैकलॉग क्लियर करना मुश्किल है	Hindi	Difficult to clear backlog	Academics	High
रीएग्जाम की तारीख क्लैश करती है	Hindi	Re-exam date clashes	Academics	High
सप्लीमेंटरी एग्जाम देर से होते हैं	Hindi	Supplementary exams delayed	Academics	High
इम्प्रूवमेंट एग्जाम नहीं होते	Hindi	Improvement exams not conducted	Academics	Medium
ग्रेस मार्क्स नहीं मिलते	Hindi	Grace marks not given	Academics	Medium
अटेंडेंस कंडोन नहीं होता	Hindi	Attendance not condoned	Academics	High
मेडिकल सर्टिफिकेट मान्य नहीं होता	Hindi	Medical certificate not accepted	Administration	High
