Original Text,Language,English Text,Category,Priority	Language	English Text	Category	Priority
High charges,English,High charges,Transport,Medium	Bengali	How much to pay for backlog papers?	Finance	Medium
WiFi is slow,English,WiFi is slow,Infrastructure,Medium	Bengali	Common room is very dirty	Facilities	Low
Room is dirty,Bengali,Room is dirty,Hostel,Low	Bengali	Not getting due clearance certificate	Administration	High
Documents lost,Hindi,Documents lost,Office,Low	Bengali	Teaching assistant is not answering the phone	Academic	Low
बिजली की समस्या है,Hindi,Electricity issue,Infrastructure,High	Bengali	There is a bug in the coding assignment	Academic	Medium
Unsafe driving,Hindi,Unsafe driving,Transport,Medium	Bengali	When is the last date to submit the thesis paper?	Academic	High
No transport available,English,No transport available,Transport,Medium	Bengali	Guest lecture link is not working	Academic	Medium
Work is slow,English,Work is slow,Office,High	Bengali	Cannot access the digital library	Access	Medium
पानी की समस्या है,Hindi,Water problem,Infrastructure,Medium	Bengali	Lab report hasn't been checked yet	Academic	Low
Documents lost,Hindi,Documents lost,Office,Medium	Bengali	No space available in the parking lot	Transport	Low
Bus is late,Hindi,Bus is late,Transport,Medium	Bengali	Scholarship money not credited to bank	Finance	High
ফ্যান কাজ করছে না,Bengali,Fan not working,Infrastructure,Low	Bengali	Where to get previous year question papers?	Academic	Medium
Exam delayed,Hindi,Exam delayed,Academics,Medium	Bengali	Student portal is crashing repeatedly	Software	High
Staff is rude,Bengali,Staff is rude,Office,Low	Bengali	Lab instrument is not working	Academic	Medium
Syllabus not completed,English,Syllabus not completed,Academics,Medium	Bengali	Showing 'Absent' in result but I gave the exam	Examination	Critical
Bus is late,Bengali,Bus is late,Transport,Medium	Bengali	Seminar registration is full	Academic	Low
Long queue,Hindi,Long queue,Office,Low	Bengali	Cannot find a project partner	Academic	Low
High charges,Hindi,High charges,Transport,High	Bengali	Need NOC for internship	Placement	Medium
Electricity issue in hostel,Bengali,Electricity issue in hostel,Hostel,Low	Bengali	College WiFi password is not working	Network	Medium
Exam delayed,Hindi,Exam delayed,Academics,High	Bengali	Need to change the food menu in the hostel	Facilities	Low
वाईफाई धीमा है,Hindi,WiFi is slow,Infrastructure,High	Bengali	ID card chip is not working	Administration	High
Noise in hostel,Bengali,Noise in hostel,Hostel,High	Bengali	Where to talk for gym membership?	Facilities	Low
Work is slow,Hindi,Work is slow,Office,Medium	Bengali	Extra charges added to hostel fee	Finance	Medium
Unsafe driving,Hindi,Unsafe driving,Transport,Low	Bengali	Not taking online payment in college canteen	Finance	Medium
ওয়াইফাই ধীর,Bengali,WiFi is slow,Infrastructure,Low	Bengali	Money not recharging on student card	Finance	Medium
Faculty not available,Bengali,Faculty not available,Academics,High	Bengali	Semester books haven't arrived in shops yet	Academic	Medium
ওয়াইফাই ধীর,Bengali,WiFi is slow,Infrastructure,High	Bengali	Need a new roommate in the hostel	Facilities	Low
Unsafe driving,English,Unsafe driving,Transport,Low	Bengali	Water leaking from AC in the lab	Facilities	Medium
Hostel food is bad,Hindi,Hostel food is bad,Hostel,Low	Bengali	Need help for off-campus placement	Placement	Medium
Water problem in hostel,Bengali,Water problem in hostel,Hostel,Low	Bengali	Why is the main gate of the college closed?	General	Medium
Office closed early,English,Office closed early,Office,Low	Bengali	Did not receive the alumni meet invitation	Events	Medium
Electricity issue in hostel,English,Electricity issue in hostel,Hostel,Low	Bengali	Submitted application for character certificate	Administration	Medium
Water problem in hostel,English,Water problem in hostel,Hostel,Low	Bengali	Need the bonafide certificate today itself	Administration	High
Internet is not working,English,Internet is not working,Infrastructure,High	Bengali	Need college stamp for education loan	Finance	High
Staff is rude,English,Staff is rude,Office,High	Bengali	Semester fee has been deducted twice	Finance	Critical
