Original Text	Language	English Text	Category	Priority
জুম অডিওতে ইকো হচ্ছে	Bengali	Echo in Zoom audio	Software	Medium
টিমস চ্যাট আপডেট হচ্ছে না	Bengali	Teams chat is not updating	Software	Medium
স্ল্যাক ওয়ার্কস্পেসে ঢোকা যাচ্ছে না	Bengali	Cannot access Slack workspace	Software	High
গুগল মিট লিংক কাজ করছে না	Bengali	Google Meet link is not working	Software	High
ইমেইল ইনবক্স ফুল হয়ে গেছে	Bengali	Email inbox is full	Software	Medium
ইমেইল ফরোয়ার্ডিং রুল কাজ করছে না	Bengali	Email forwarding rule is not working	Software	Low
ইমেইলে সিগনেচার দেখাচ্ছে না	Bengali	Signature is not showing in email	Software	Low
ফিশিং ইমেইল রিপোর্ট করা হয়েছে	Bengali	Phishing email has been reported	Security	High
ম্যালওয়্যার ধরা পড়েছে	Bengali	Malware has been detected	Security	Critical
র‍্যানসমওয়্যার অ্যালার্ট	Bengali	Ransomware alert	Security	Critical
ডেটা ব্রিচ সন্দেহ করা হচ্ছে	Bengali	Data breach is suspected	Security	Critical
গেস্ট ওয়াইফাই পাসওয়ার্ড দরকার	Bengali	Need guest WiFi password	Network	Low
ব্যান্ডউইথ লিমিট শেষ হয়ে গেছে	Bengali	Bandwidth limit is exceeded	Network	Medium
স্ট্যাটিক আইপি রিকোয়েস্ট	Bengali	Static IP request	Network	Low
ডিএনএস কাজ করছে না	Bengali	DNS is not working	Network	High
প্রক্সি সার্ভার এরর	Bengali	Proxy server error	Network	High
রাউটারের ফার্মওয়্যার আপডেট দরকার	Bengali	Router firmware update needed	Network	Medium
আইএসপি ডাউন	Bengali	ISP is down	Network	Critical
সুইচ পোর্ট ডেড	Bengali	Switch port is dead	Network	High
কেবল ডিসকানেক্টেড	Bengali	Cable is disconnected	Network	Medium
ডেটাবেস টাইমআউট	Bengali	Database timeout	Database	High
কোয়েরি অপ্টিমাইজেশন দরকার	Bengali	Query optimization is needed	Database	Medium
রেডিস ক্যাশ এরর	Bengali	Redis cache error	Database	High
মঙ্গোডিবি কানেকশন লস্ট	Bengali	MongoDB connection is lost	Database	Critical
স্টোরেজ ভলিউম ডিটাচড	Bengali	Storage volume is detached	Cloud	High
এডব্লিউএস কনসোল লক হয়ে গেছে	Bengali	AWS console is locked	Cloud	Critical
অ্যাজিউর ভিএম স্টার্ট হচ্ছে না	Bengali	Azure VM is not starting	Cloud	High
জিসিপি প্রজেক্ট কোটা শেষ	Bengali	GCP project quota reached	Cloud	Medium
ডকার কন্টেইনার ক্র্যাশ করেছে	Bengali	Docker container has crashed	Infrastructure	High
কুবারনেটিস পড ফেইল করছে	Bengali	Kubernetes pod is failing	Infrastructure	High
পাইপলাইন ডেপ্লয়মেন্ট ফেইল হয়েছে	Bengali	Pipeline deployment has failed	Infrastructure	High
এসএসএল হ্যান্ডশেক ফেইল হয়েছে	Bengali	SSL handshake has failed	Security	High
সার্টিফিকেট রোটেশন দরকার	Bengali	Certificate rotation is needed	Security	Medium
টু-স্টেপ ভেরিফিকেশন কোড আসছে না	Bengali	Two-step verification code is not arriving	Security	High
অথেনটিকেটর অ্যাপ হারিয়ে গেছে	Bengali	Authenticator app is lost	Security	High
টেম্পোরারি পাসওয়ার্ড এক্সপায়ার হয়েছে	Bengali	Temporary password has expired	Access	Medium
সিঙ্গেল সাইন-অন এরর	Bengali	Single Sign-On error	Access	High
অ্যাডমিন রাইটস চাওয়া হয়েছে	Bengali	Admin rights requested	Access	Medium
ভিউ-অনলি অ্যাক্সেস দেওয়া হয়েছে	Bengali	View-only access provided	Access	Low
লাইসেন্স অ্যাক্টিভেশন ফেইল হয়েছে	Bengali	License activation has failed	Software	High
সাবস্ক্রিপশন অটো-রিনিউয়াল ফেইল হয়েছে	Bengali	Subscription auto-renewal failed	Billing	High
বিলিং ঠিকানা আপডেট	Bengali	Billing address update	Billing	Low
ক্রেডিট কার্ড ডিক্লাইন হয়েছে	Bengali	Credit card has been declined	Billing	High
ইনভয়েসে বেশি টাকা ধরা হয়েছে	Bengali	Overcharged on invoice	Billing	Medium
ট্যাক্স রসিদ দরকার	Bengali	Need tax receipt	Billing	Low
প্রোমো কোড ইনভ্যালিড	Bengali	Promo code is invalid	Billing	Low
কাস্টমার মত পরিবর্তন করেছেন	Bengali	Customer has changed mind	General	Low
ভুল প্রোডাক্ট পাঠানো হয়েছে	Bengali	Wrong product shipped	General	High
বক্সে কিছু পার্টস নেই	Bengali	Missing parts in box	General	Medium
ট্রানজিটের সময় ড্যামেজ হয়েছে	Bengali	Damaged during transit	General	High
রিটার্ন শিপিং লেবেল দরকার	Bengali	Return shipping label is needed	General	Low
অর্ডার ট্র্যাকিং আপডেট হচ্ছে না	Bengali	Order tracking is not updating	General	Medium
ঠিকানা খুঁজে পাওয়া যাচ্ছে না	Bengali	Address is not found	General	High
প্যাকেজ ডেলিভারড দেখাচ্ছে কিন্তু পাইনি	Bengali	Package marked delivered but missing	General	High
অ্যাপ চালুর সময় ক্র্যাশ করছে	Bengali	App crashes on launch	Software	High
লোডিং স্ক্রিনে আটকে আছে	Bengali	Stuck on loading screen	Software	Medium
ইউআই টেক্সট ওভারল্যাপ করছে	Bengali	UI text is overlapping	Software	Low
বাটনে ক্লিক করা যাচ্ছে না	Bengali	Button is unclickable	Software	High
ছবি রেন্ডার হচ্ছে না	Bengali	Image is not rendering	Software	Medium
ফর্ম ভ্যালিডেশন এরর	Bengali	Form validation error	Software	Medium
সব ডিভাইসে ডেটা সিঙ্ক হচ্ছে না	Bengali	Data is not syncing across devices	Software	Medium
অফলাইন মোড কাজ করছে না	Bengali	Offline mode is not working	Software	Medium
পুশ নোটিফিকেশন দেরিতে আসছে	Bengali	Push notifications are delayed	Software	Low
ব্যাটারি সেভার মোডে সমস্যা	Bengali	Problem in battery saver mode	Software	Low
জিপিএস লোকেশন ভুল দেখাচ্ছে	Bengali	GPS location is inaccurate	Mobile	High
বায়োমেট্রিক লগইন ফেইল হয়েছে	Bengali	Biometric login has failed	Access	High
ডার্ক মোডে কালার কনট্রাস্ট খারাপ	Bengali	Color contrast is poor in dark mode	Software	Low
ফন্ট রেন্ডারিং গ্লিচ	Bengali	Font rendering glitch	Software	Low
অডিও সিঙ্ক হচ্ছে না	Bengali	Audio is not syncing	Software	Medium
সাবটাইটেল দেখাচ্ছে না	Bengali	Subtitles are missing	Software	Low
পিডিএফ এক্সপোর্ট ফেইল হয়েছে	Bengali	Export to PDF failed	Software	Medium
প্রিন্ট প্রিভিউ ফাঁকা	Bengali	Print preview is blank	Software	Low
কপি-পেস্ট করার পর ফরম্যাটিং নষ্ট হয়ে গেছে	Bengali	Formatting lost after copy-paste	Software	Low
স্পেল চেক কাজ করছে না	Bengali	Spell check is not working	Software	Low
অটো-সেভ ফেইল হয়েছে	Bengali	Auto-save failed	Software	High
সেমিস্টার পরীক্ষার ফর্ম ফিলাপ হচ্ছে না	Bengali	Semester exam form fill-up is not working	Examination	High
এডমিট কার্ডে ছবির জায়গায় অন্য কিছু দেখাচ্ছে	Bengali	Something else showing in place of photo on admit card	Examination	Critical
লাইব্রেরিতে দরকারি বই খুঁজে পাচ্ছি না	Bengali	Cannot find necessary books in the library	Academic	Medium
রেজাল্টে ইন্টারনাল মার্কস যোগ হয়নি	Bengali	Internal marks not added to the result	Examination	High
প্লেসমেন্ট ড্রাইভের জন্য রেজিস্ট্রেশন করতে পারছি না	Bengali	Cannot register for the placement drive	Placement	High
ল্যাবের কম্পিউটারে সফটওয়্যার ইন্সটল নেই	Bengali	Software not installed on lab computers	Academic	Medium
প্রজেক্ট সাবমিশনের পোর্টাল কাজ করছে না	Bengali	Project submission portal is not working	Academic	High
অ্যাটেনডেন্স পার্সেন্টেজ ভুল দেখাচ্ছে	Bengali	Attendance percentage is showing wrong	Administration	Medium
স্কলারশিপের ভেরিফিকেশন এখনো পেন্ডিং	Bengali	Scholarship verification is still pending	Finance	High
কলেজ বাস সময়মতো আসছে না	Bengali	College bus is not arriving on time	Transport	Medium
হোস্টেলের ওয়াইফাই স্পিড খুব কম	Bengali	Hostel WiFi speed is very low	Infrastructure	Medium
ক্যান্টিনের খাবারের মান খুব খারাপ	Bengali	Canteen food quality is very poor	Facilities	High
আইডেন্টিটি কার্ড হারিয়ে গেছে, নতুন কার্ড দরকার	Bengali	Identity card is lost, need a new card	Administration	Medium
মার্কশিটে নামের বানান ভুল আছে	Bengali	Name spelling is wrong on the mark sheet	Examination	Medium
ইন্টার্নশিপের সার্টিফিকেট আপলোড হচ্ছে না	Bengali	Internship certificate is not uploading	Placement	Medium
ল্যাবে ইন্টারনেটের কানেকশন নেই	Bengali	No internet connection in the lab	Infrastructure	High
প্রোফেসরের সাথে অ্যাপয়েন্টমেন্ট পাচ্ছি না	Bengali	Cannot get an appointment with the professor	Academic	Low
সেমিনার হলের এসি কাজ করছে না	Bengali	AC is not working in the seminar hall	Facilities	Low
সাপ্লিমেন্টারি পরীক্ষার রুটিন দরকার	Bengali	Need supplementary exam routine	Examination	Medium
কলেজের মেইল আইডি পাসওয়ার্ড ভুলে গেছি	Bengali	Forgot college email ID password	Access	High
কোর্স কারিকুলাম ডাউনলোড করা যাচ্ছে না	Bengali	Course curriculum cannot be downloaded	Academic	Low
স্পোর্টস রুমের চাবি পাওয়া যাচ্ছে না	Bengali	Sports room key is not available	Facilities	Low
টিসি (ট্রান্সফার সার্টিফিকেট) এর জন্য আবেদন করতে চাই	Bengali	Want to apply for TC (Transfer Certificate)	Administration	Medium
ক্লাসরুমে প্রজেক্টর কাজ করছে না	Bengali	Projector is not working in the classroom	Academic	Medium
ফি জমা দেওয়ার রসিদ পাইনি	Bengali	Did not receive the fee payment receipt	Finance	High
হোস্টেলে জলের সমস্যা হচ্ছে	Bengali	Water problem in the hostel	Facilities	High
লাইব্রেরি কার্ড রিনিউ করতে হবে	Bengali	Library card needs to be renewed	Academic	Low
অফলাইন ক্লাসের নোটিশ এখনো আসেনি	Bengali	Offline class notice hasn't arrived yet	Administration	Low
ল্যাব ম্যানুয়াল খুঁজে পাচ্ছি না	Bengali	Cannot find the lab manual	Academic	Medium
কম্পাইলার এরর দিচ্ছে ল্যাবের পিসিতে	Bengali	Compiler giving error on lab PC	Academic	Medium
গ্রেড কার্ডে সিজিপিএ ভুল ক্যালকুলেট করা হয়েছে	Bengali	CGPA calculated wrongly in grade card	Examination	High
এনওসি (NOC) সার্টিফিকেট দরকার	Bengali	Need NOC certificate	Administration	Medium
ব্যাকলগ পেপারের জন্য কত টাকা দিতে হবে?	Bengali	How much to pay for backlog papers?	Finance	Medium
কমন রুম খুব নোংরা হয়ে আছে	Bengali	Common room is very dirty	Facilities	Low
ডিউ ক্লিয়ারেন্স সার্টিফিকেট পাচ্ছি না	Bengali	Not getting due clearance certificate	Administration	High
টিচিং অ্যাসিস্ট্যান্ট ফোন ধরছে না	Bengali	Teaching assistant is not answering the phone	Academic	Low
সেমিস্টারের মাঝখানে টিচার চেঞ্জ হয়েছে	Bengali	Teacher changed in the middle of the semester	Academic	Medium
প্র্যাকটিক্যাল পরীক্ষার ডেট পিছিয়ে গেছে	Bengali	Practical exam date has been postponed	Examination	Medium
কোডিং অ্যাসাইনমেন্টে বাগ আছে	Bengali	There is a bug in the coding assignment	Academic	Medium
থিসিস পেপার জমা দেওয়ার লাস্ট ডেট কবে?	Bengali	When is the last date to submit the thesis paper?	Academic	High
গেস্ট লেকচারের লিংক কাজ করছে না	Bengali	Guest lecture link is not working	Academic	Medium
ডিজিটাল লাইব্রেরি অ্যাক্সেস করতে পারছি না	Bengali	Cannot access the digital library	Access	Medium
ল্যাপটপ চার্জিং পয়েন্ট কাজ করছে না ক্লাসে	Bengali	Laptop charging point not working in class	Infrastructure	Low
স্টুডেন্ট ক্রেডিট কার্ডের স্ট্যাটাস কি?	Bengali	What is the status of the student credit card?	Finance	High
বনভোজনের জন্য পারমিশন দরকার	Bengali	Need permission for the excursion	Administration	Low
ল্যাব রিপোর্ট চেক করা হয়নি এখনো	Bengali	Lab report hasn't been checked yet	Academic	Low
ভেকটিমাইজেশন বা র‍্যাগিং এর অভিযোগ জানাতে চাই	Bengali	Want to report victimization or ragging	Security	Critical
কালকে কি কলেজ ছুটি?	Bengali	Is the college closed tomorrow?	General	Low
পার্কিং লটে জায়গা পাওয়া যাচ্ছে না	Bengali	No space available in the parking lot	Transport	Low
হোস্টেলের কার্ফু টাইম বাড়াতে হবে	Bengali	Need to increase hostel curfew time	Facilities	Medium
এনভায়রনমেন্টাল স্টাডিজের প্রজেক্ট টপিক কি?	Bengali	What is the project topic for Environmental Studies?	Academic	Low
মাইগ্রেশন সার্টিফিকেট কত দিনে পাব?	Bengali	How many days to get the migration certificate?	Administration	Medium
স্কলারশিপের টাকা ব্যাংকে ক্রেডিট হয়নি	Bengali	Scholarship money not credited to bank	Finance	High
ভাইভা পরীক্ষার জন্য কোন ঘরে যেতে হবে?	Bengali	Which room to go to for the viva exam?	Examination	Medium
প্লেসমেন্ট সেলের ফোন নাম্বার দরকার	Bengali	Need placement cell phone number	Placement	Medium
প্রিভিয়াস ইয়ার কোশ্চেন পেপার কোথায় পাব?	Bengali	Where to get previous year question papers?	Academic	Medium
স্টুডেন্ট পোর্টাল বারবার ক্র্যাশ করছে	Bengali	Student portal is crashing repeatedly	Software	High
ল্যাবের ইনস্ট্রুমেন্ট কাজ করছে না	Bengali	Lab instrument is not working	Academic	Medium
রেজাল্টে 'অ্যাবসেন্ট' দেখাচ্ছে কিন্তু আমি পরীক্ষা দিয়েছি	Bengali	Showing 'Absent' in result but I gave the exam	Examination	Critical
ফি স্ট্রাকচার হঠাৎ বদলে গেছে	Bengali	Fee structure changed suddenly	Finance	High
বোনাস মার্কস কেন দেওয়া হয়নি?	Bengali	Why were bonus marks not given?	Examination	Medium
সেমিনার রেজিস্ট্রেশন ফুল হয়ে গেছে	Bengali	Seminar registration is full	Academic	Low
ল্যাবের জন্য আলাদা ড্রেস কোড আছে কি?	Bengali	Is there a separate dress code for the lab?	Administration	Low
প্রোজেক্ট পার্টনার খুঁজে পাচ্ছি না	Bengali	Cannot find a project partner	Academic	Low
ইন্টার্নশিপের জন্য এনওসি দরকার	Bengali	Need NOC for internship	Placement	Medium
ওয়েবসাইটে নোটিফিকেশন আপডেট হচ্ছে না	Bengali	Notification is not updating on the website	Software	Medium
কলেজের ওয়াইফাই পাসওয়ার্ড কাজ করছে না	Bengali	College WiFi password is not working	Network	Medium
হোস্টেলে খাবারের মেনু পরিবর্তন করতে হবে	Bengali	Need to change the food menu in the hostel	Facilities	Low
স্কিল ডেভেলপমেন্ট কোর্সের ফিজ কত?	Bengali	What is the fee for the skill development course?	Finance	Low
ল্যাবে কেমিক্যাল শেষ হয়ে গেছে	Bengali	Chemicals are finished in the lab	Academic	Medium
প্রজেক্ট প্রেজেন্টেশনের জন্য পেনড্রাইভ নিচ্ছে না	Bengali	Pendrive not working for project presentation	Academic	Medium
আইডি কার্ডের চিপ কাজ করছে না	Bengali	ID card chip is not working	Administration	High
লাইব্রেরিতে বসার জায়গা নেই	Bengali	No seating space in the library	Facilities	Low
জিম মেম্বারশিপের জন্য কোথায় কথা বলব?	Bengali	Where to talk for gym membership?	Facilities	Low
ল্যাবের রেকর্ড বুক হারিয়ে গেছে	Bengali	Lab record book is lost	Academic	High
হোস্টেল ফিতে অতিরিক্ত চার্জ যোগ করা হয়েছে	Bengali	Extra charges added to hostel fee	Finance	Medium
সেমিস্টার ড্রপ আউট করতে চাই	Bengali	I want to drop out of the semester	Administration	High
রি-ইভালুয়েশনের জন্য কত টাকা লাগবে?	Bengali	How much money for re-evaluation?	Finance	Medium
কলেজের ক্যান্টিনে অনলাইন পেমেন্ট নিচ্ছে না	Bengali	Not taking online payment in college canteen	Finance	Medium
ল্যাবের কম্পিউটার খুব স্লো	Bengali	Lab computers are very slow	Infrastructure	Medium
কালকের ক্লাসের টাইম টেবিল চেঞ্জ হয়েছে কি?	Bengali	Has tomorrow's class timetable changed?	Academic	Low
ক্লাসরুমে ফ্যান ঘুরছে না	Bengali	Fan is not rotating in the classroom	Facilities	Low
প্লেসমেন্ট ইন্টারভিউয়ের ড্রেস কোড কি?	Bengali	What is the dress code for placement interviews?	Placement	Medium
কোডিং টেস্টের লিংক ওপেন হচ্ছে না	Bengali	Coding test link is not opening	Placement	High
রিজ্যুমে বিল্ডার সফটওয়্যার কাজ করছে না	Bengali	Resume builder software is not working	Placement	Medium
টেকনিক্যাল রাউন্ডে কি কি প্রশ্ন আসতে পারে?	Bengali	What questions can come in the technical round?	Placement	Low
এটিটিউড টেস্টের সিলেবাস কি?	Bengali	What is the syllabus for the aptitude test?	Placement	Low
গ্রুপ ডিসকাশনের জন্য টপিক দরকার	Bengali	Need topics for group discussion	Placement	Low
হোস্টেলের গেট বন্ধ করার সময় কত?	Bengali	What is the hostel gate closing time?	Facilities	Medium
স্টুডেন্ট কার্ডে টাকা রিচার্জ হচ্ছে না	Bengali	Money not recharging on student card	Finance	Medium
সেমিস্টারের বই এখনো দোকানে আসেনি	Bengali	Semester books haven't arrived in shops yet	Academic	Medium
রেজাল্ট রিভিউ করার অপশন কোথায়?	Bengali	Where is the option to review the result?	Examination	Medium
অ্যাটেনডেন্স কম থাকার জন্য ফাইন দিতে হচ্ছে	Bengali	Having to pay a fine for low attendance	Finance	High
কলেজের অ্যাপ আপডেট হচ্ছে না	Bengali	College app is not updating	Software	Medium
প্রজেক্টের হার্ডকপি কোথায় জমা দেব?	Bengali	Where to submit the hard copy of the project?	Academic	Medium
হোস্টেলে নতুন মেট দরকার	Bengali	Need a new roommate in the hostel	Facilities	Low
ল্যাবে এসি থেকে জল পড়ছে	Bengali	Water leaking from AC in the lab	Facilities	Medium
অফ-ক্যাম্পাস প্লেসমেন্টের জন্য হেল্প দরকার	Bengali	Need help for off-campus placement	Placement	Medium
কনভোকেশন ফর্ম কিভাবে ফিলাপ করব?	Bengali	How to fill up the convocation form?	Administration	Low
ইআরপি পোর্টালে ডাটা দেখাচ্ছে না	Bengali	Data not showing in ERP portal	Software	High
কলেজের মেইন গেট বন্ধ কেন?	Bengali	Why is the main gate of the college closed?	General	Medium
ফেস্টের পাসের জন্য কোথায় যোগাযোগ করব?	Bengali	Where to contact for the fest pass?	Events	Medium
টেক ফেস্টের রেজিস্ট্রেশন লিংক কাজ করছে না	Bengali	Tech fest registration link is not working	Events	High
কালচারাল ক্লাবের অডিশন কবে হবে?	Bengali	When will the cultural club audition happen?	Events	Low
কলেজের বাসে খুব ভিড় হচ্ছে, সিট পাচ্ছি না	Bengali	College bus is very crowded, not getting a seat	Transport	Medium
বাস পাসের মেয়াদ শেষ হয়ে গেছে	Bengali	Bus pass has expired	Transport	Medium
অ্যালামনাই মিটের ইনভাইটেশন পাইনি	Bengali	Did not receive the alumni meet invitation	Events	Medium
সমাবর্তনের গাউন সাইজ ফিট হচ্ছে না	Bengali	Convocation gown size is not fitting	Events	Low
ডিগ্রির অরিজিনাল সার্টিফিকেট কবে পাব?	Bengali	When will I get the original degree certificate?	Administration	High
ক্যারেক্টার সার্টিফিকেটের জন্য অ্যাপ্লিকেশন দিয়েছি	Bengali	Submitted application for character certificate	Administration	Medium
বোনাফাইড সার্টিফিকেট আজই দরকার	Bengali	Need the bonafide certificate today itself	Administration	High
এডুকেশন লোনের জন্য কলেজের স্ট্যাম্প লাগবে	Bengali	Need college stamp for education loan	Finance	High
সেমিস্টার ফি দুবার কেটে নিয়েছে	Bengali	Semester fee has been deducted twice	Finance	Critical
লেট ফাইন মকুব করার জন্য কার কাছে যাব?	Bengali	Who to approach to waive the late fine?	Finance	Medium
রিফান্ড পলিসি কোথায় লেখা আছে?	Bengali	Where is the refund policy written?	Finance	Low
ক্যান্টিনে ইউপিআই স্ক্যানার কাজ করছে না	Bengali	UPI scanner is not working in the canteen	Facilities	Medium
